"","Observed","Chao1","se.chao1","Shannon","Simpson","Treatment","Replicate"
"deltaAv2_1",627,650.153846153846,9.36001067571685,3.96017338710412,0.841050759617874,"deltaAv2","1"
"deltaAv2_2",417,429,6.44494851068349,4.20693694914473,0.89486758042729,"deltaAv2","2"
"deltaAv2_3",535,562.789473684211,12.7608898514375,4.07056760347506,0.870514976363139,"deltaAv2","3"
"deltaAv2_4",399,418.117647058824,9.89158947776072,3.71189506680928,0.828050490987772,"deltaAv2","4"
"deltaAv2_5",225,228.111111111111,3.10159341318279,4.49071292554731,0.972468038625041,"deltaAv2","5"
"Mock_1",571,606.357142857143,13.8587615626674,5.56261914243038,0.991244644033972,"Mock","1"
"Mock_2",523,547.848484848485,10.2343883945947,5.41193511345968,0.988069095278203,"Mock","2"
"Mock_3",632,656.6,10.0220887936646,5.5020830928577,0.985552656503314,"Mock","3"
"Mock_4",354,360,4.16156687905996,4.86954661652516,0.971498712333215,"Mock","4"
"Mock_5",623,645.777777777778,9.4168838180194,4.40850798644717,0.891162047723805,"Mock","5"
"TO22_1",646,675.651162790698,10.9527054797701,5.67208461587273,0.992261462248471,"TO22","1"
"TO22_2",427,468.625,18.3212591343465,4.88896706613869,0.967826517267008,"TO22","2"
"TO22_3",516,555.6,15.568694178628,5.12147205450739,0.97002836228482,"TO22","3"
"TO22_4",560,582.2,9.63574161217792,4.70069592899974,0.940836293282345,"TO22","4"
"TO22_5",651,670.833333333333,8.87656994196036,5.10848676736307,0.956348226137344,"TO22","5"
