"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ASV"
"ASV1",3345.18194363737,-1.70524236022648,1.29913208864445,-1.31260121671367,0.189317359414036,1,"ASV1"
"ASV4",518.989953508512,-1.74568716852865,1.30075023780306,-1.34206177157966,0.179575967712219,1,"ASV4"
"ASV9",288.110720633368,-0.0554231379785398,1.12003890995405,-0.0494832255254539,0.960534204913995,1,"ASV9"
"ASV10",299.327397129564,-1.45112422064969,1.23013990425276,-1.17964161282221,0.238142785035701,1,"ASV10"
"ASV11",204.37181095189,0.52345629221249,1.11028535415353,0.471461044004826,0.637311532413604,1,"ASV11"
"ASV13",218.984352989802,0.897559988108423,1.96735507840296,0.456226737085527,0.648226940741505,1,"ASV13"
"ASV14",171.851121863379,0.772718353539539,1.12196664052569,0.688717761855637,0.491000896469518,1,"ASV14"
"ASV15",137.502920813018,-0.367770961810973,1.10819699305561,-0.331864248067418,0.739991767778616,1,"ASV15"
"ASV16",139.097214684579,-1.54604243119414,1.27240404242512,-1.21505620828388,0.224344654215827,1,"ASV16"
"ASV19",109.203415233101,-0.185017895047665,1.20962492137627,-0.152954764553924,0.878433948093921,1,"ASV19"
"ASV20",103.038664682869,0.561425021036082,1.21605632990422,0.461676821402099,0.644313095290248,1,"ASV20"
"ASV21",106.149122005778,0.361291733835468,1.13464680457095,0.31841779519406,0.750168041577563,1,"ASV21"
"ASV22",112.778550917909,-1.90769870328372,1.35632937480439,-1.40651580561606,0.159571014560629,1,"ASV22"
"ASV23",89.984947783416,-0.164111200502923,1.11299056199353,-0.147450666795392,0.882776316207,1,"ASV23"
"ASV24",87.18875614923,-0.418255902282898,1.13051464998374,-0.369969466816653,0.711405240699692,1,"ASV24"
"ASV25",97.8189398102103,-2.14051439922447,1.20451391242727,-1.77707735638439,0.0755555131771125,1,"ASV25"
"ASV26",78.5045163190298,0.156538487928083,1.14316924172508,0.136933782168476,0.891083136031149,1,"ASV26"
"ASV28",78.4675701652148,0.0834772996757252,1.12008931829478,0.0745273598384198,0.940590771694998,1,"ASV28"
"ASV29",80.2629958868368,-1.51104748454305,1.23669028811285,-1.22184794290643,0.221765134500601,1,"ASV29"
"ASV30",72.8707700823161,0.621590569259732,1.1167710325316,0.556596250397589,0.577803316216448,1,"ASV30"
"ASV33",81.1407095426599,-0.301916869948848,1.46587165781553,-0.20596405445124,0.836818989677446,1,"ASV33"
"ASV35",61.9340460130665,0.0422186959554147,1.16947779662399,0.0361004681553514,0.971202249038646,1,"ASV35"
"ASV36",63.3927259119187,0.03616670387695,1.19617947968333,0.0302351816689954,0.975879490435023,1,"ASV36"
"ASV37",65.0768640454235,-0.520128393027982,1.79986943689038,-0.288981179616341,0.77259577990597,1,"ASV37"
"ASV38",58.2717738329653,1.1815706152858,1.23697026288736,0.955213436196726,0.33946977243249,1,"ASV38"
"ASV39",64.5464454960266,-2.11070263322106,1.25537653100018,-1.68133032687764,0.0926987703939814,1,"ASV39"
"ASV40",68.8460887499399,-1.70670872686753,1.56892312753799,-1.08782176571376,0.27667379882616,1,"ASV40"
"ASV41",52.7047562465547,0.106722948074589,1.18433075166409,0.0901124520533078,0.928197854171237,1,"ASV41"
"ASV42",55.098677868932,-1.02132565576771,1.40828106794619,-0.725228563398347,0.468311822442555,1,"ASV42"
"ASV44",55.8744819038932,-0.381841081387342,1.21924338537112,-0.31317871884219,0.754144885666404,1,"ASV44"
"ASV46",49.5849468626536,-0.843346279687701,1.99930589592015,-0.421819533173318,0.673156747096245,1,"ASV46"
"ASV48",49.9945192915393,-0.566287826057567,1.16422550998331,-0.486407333632197,0.626678391985499,1,"ASV48"
